1	2026-09-04	35.5	Weak	{"roe":{"avg3":8.653333333333334,"lastYr":8.93,"variationPct":3.1972265023112345,"flag":"improvement"},"roce":{"avg3":10.983333333333334,"lastYr":11.31,"variationPct":2.974203338391498,"flag":"neutral"},"epsGrowth":{"avg3":6.790131897530291,"lastYr":15.970468233922672,"variationPct":135.2011488868347,"flag":"improvement"},"salesGrowth":{"avg3":6.432982560539468,"lastYr":9.591237834212542,"variationPct":49.09472774022605,"flag":"improvement"},"debtEquity":{"avg3":0.44,"lastYr":0.44,"variationPct":0,"flag":"neutral"},"assetTurns":{"avg3":1.1323121155369076,"lastYr":1.1036921660352461,"variationPct":-2.527567188318105,"flag":"neutral"},"cwipPct":21.58967650875411,"latestFY":"FY26","epsLatest":59.69,"exempt":false}
2	2026-09-04	50.46	Average	{"roe":{"avg3":18.843333333333334,"lastYr":17.91,"variationPct":-4.953122235980896,"flag":"deterioration"},"roce":{"avg3":15.006666666666666,"lastYr":18.29,"variationPct":21.879164815637495,"flag":"improvement"},"epsGrowth":{"avg3":101.61327967889393,"lastYr":-20.824411134903645,"variationPct":-120.49378900150694,"flag":"deterioration"},"salesGrowth":{"avg3":15.02858310210299,"lastYr":21.96002895045355,"variationPct":46.12175213896661,"flag":"improvement"},"debtEquity":{"avg3":1.9400000000000002,"lastYr":1.31,"variationPct":-32.47422680412371,"flag":"improvement"},"assetTurns":{"avg3":0.8532680763797097,"lastYr":0.8847336922767887,"variationPct":3.6876588692480943,"flag":"improvement"},"cwipPct":5.899879685866464,"latestFY":"FY26","epsLatest":44.37,"exempt":false}
3	2026-09-04	33.71	Poor	{"roe":{"avg3":8.786666666666667,"lastYr":8.63,"variationPct":-1.7830045523520441,"flag":"neutral"},"roce":{"avg3":null,"lastYr":null,"variationPct":null,"flag":"neutral"},"epsGrowth":{"avg3":-15.544481748583763,"lastYr":2.0749665327978577,"variationPct":113.34857325164222,"flag":"improvement"},"salesGrowth":{"avg3":17.481167814053375,"lastYr":4.733207584666749,"variationPct":-72.92396231754236,"flag":"deterioration"},"debtEquity":{"avg3":0.9733333333333333,"lastYr":0.81,"variationPct":-16.780821917808208,"flag":"improvement"},"assetTurns":{"avg3":5.830018642871146,"lastYr":5.666932307027679,"variationPct":-2.7973553059369034,"flag":"neutral"},"cwipPct":0,"latestFY":"FY26","epsLatest":45.75,"exempt":true}
4	2026-09-04	61	Good	{"roe":{"avg3":16.15666666666667,"lastYr":14.93,"variationPct":-7.5923251495770785,"flag":"deterioration"},"roce":{"avg3":null,"lastYr":null,"variationPct":null,"flag":"neutral"},"epsGrowth":{"avg3":16.477891686434194,"lastYr":5.102614562833843,"variationPct":-69.0335714062577,"flag":"deterioration"},"salesGrowth":{"avg3":18.340101375624347,"lastYr":9.13066275567341,"variationPct":-50.21476398266322,"flag":"deterioration"},"debtEquity":{"avg3":0.6666666666666666,"lastYr":0.57,"variationPct":-14.500000000000002,"flag":"improvement"},"assetTurns":{"avg3":11.938771871610811,"lastYr":12.278347982793274,"variationPct":2.8443135930081795,"flag":"neutral"},"cwipPct":4.2586482926000855,"latestFY":"FY26","epsLatest":74.77,"exempt":true}
5	2026-09-04	55.24	Good	{"roe":{"avg3":15.356666666666667,"lastYr":13.97,"variationPct":-9.029737356197092,"flag":"deterioration"},"roce":{"avg3":null,"lastYr":null,"variationPct":null,"flag":"neutral"},"epsGrowth":{"avg3":13.689798710481833,"lastYr":4.8901162121735124,"variationPct":-64.27912261098983,"flag":"deterioration"},"salesGrowth":{"avg3":12.307463024865589,"lastYr":9.208470207804677,"variationPct":-25.179785718631127,"flag":"deterioration"},"debtEquity":{"avg3":1.2766666666666666,"lastYr":1.22,"variationPct":-4.438642297650129,"flag":"improvement"},"assetTurns":{"avg3":7.153380471442547,"lastYr":6.678830349191019,"variationPct":-6.633928170688093,"flag":"deterioration"},"cwipPct":1.2337954335886172,"latestFY":"FY26","epsLatest":91.16,"exempt":true}
6	2026-09-04	69.47	High	{"roe":{"avg3":49.28666666666667,"lastYr":45.89,"variationPct":-6.891654267550389,"flag":"deterioration"},"roce":{"avg3":61.166666666666664,"lastYr":56.29,"variationPct":-7.972752043596729,"flag":"deterioration"},"epsGrowth":{"avg3":5.746043532552984,"lastYr":1.3562858633281116,"variationPct":-76.39617842008394,"flag":"deterioration"},"salesGrowth":{"avg3":5.805976318559334,"lastYr":4.5812379564788275,"variationPct":-21.094442947786717,"flag":"deterioration"},"debtEquity":{"avg3":0.09999999999999999,"lastYr":0.11,"variationPct":10.00000000000001,"flag":"deterioration"},"assetTurns":{"avg3":11.682725986554138,"lastYr":10.63828685258964,"variationPct":-8.940029366147602,"flag":"deterioration"},"cwipPct":12.123505976095618,"latestFY":"FY26","epsLatest":136.01,"exempt":false}
7	2026-09-04	65.31	High	{"roe":{"avg3":17.576666666666664,"lastYr":16.68,"variationPct":-5.101460269296405,"flag":"deterioration"},"roce":{"avg3":null,"lastYr":null,"variationPct":null,"flag":"neutral"},"epsGrowth":{"avg3":17.291676966005863,"lastYr":13.758389261744972,"variationPct":-20.433458890118462,"flag":"deterioration"},"salesGrowth":{"avg3":22.621420039116188,"lastYr":19.734727240422206,"variationPct":-12.760882357086386,"flag":"deterioration"},"debtEquity":{"avg3":2.9333333333333336,"lastYr":3.1,"variationPct":5.681818181818176,"flag":"deterioration"},"assetTurns":{"avg3":15.487908402575124,"lastYr":16.96658980271586,"variationPct":9.547327900614903,"flag":"improvement"},"cwipPct":2.6027841831070115,"latestFY":"FY26","epsLatest":30.51,"exempt":true}
8	2026-09-04	49.2	Average	{"roe":{"avg3":15.08,"lastYr":14.72,"variationPct":-2.3872679045092804,"flag":"neutral"},"roce":{"avg3":11.950000000000001,"lastYr":12.28,"variationPct":2.7615062761506133,"flag":"neutral"},"epsGrowth":{"avg3":16.485528095916248,"lastYr":6.95461200585651,"variationPct":-57.81383547197806,"flag":"deterioration"},"salesGrowth":{"avg3":16.14706090759211,"lastYr":11.807835807318126,"variationPct":-26.87315744398873,"flag":"deterioration"},"debtEquity":{"avg3":1.2866666666666666,"lastYr":1.15,"variationPct":-10.621761658031092,"flag":"improvement"},"assetTurns":{"avg3":12.406312021087134,"lastYr":12.576831122995552,"variationPct":1.3744544036824577,"flag":"neutral"},"cwipPct":13.992984679485165,"latestFY":"FY26","epsLatest":116.88,"exempt":false}
9	2026-09-04	72.45	High	{"roe":{"avg3":39.98666666666667,"lastYr":32.53,"variationPct":-18.647882627542522,"flag":"deterioration"},"roce":{"avg3":40.18,"lastYr":32.65,"variationPct":-18.740666998506722,"flag":"deterioration"},"epsGrowth":{"avg3":16.884556061182604,"lastYr":18.90052356020942,"variationPct":11.939712786772661,"flag":"improvement"},"salesGrowth":{"avg3":7.26802655740714,"lastYr":8.719247841768063,"variationPct":19.96719842584951,"flag":"improvement"},"debtEquity":{"avg3":null,"lastYr":null,"variationPct":null,"flag":"neutral"},"assetTurns":{"avg3":212.5048267924477,"lastYr":217.10308324239048,"variationPct":2.1638362381452576,"flag":"neutral"},"cwipPct":9.388214256102506,"latestFY":"FY26","epsLatest":45.42,"exempt":true}
10	2026-09-04	68.41	High	{"roe":{"avg3":24.16333333333333,"lastYr":30.86,"variationPct":27.714167471375372,"flag":"improvement"},"roce":{"avg3":28.13,"lastYr":28.32,"variationPct":0.6754354781372246,"flag":"neutral"},"epsGrowth":{"avg3":15.461955558787556,"lastYr":41.2180052956752,"variationPct":166.57692255653652,"flag":"improvement"},"salesGrowth":{"avg3":2.3337680623948884,"lastYr":5.266372806365872,"variationPct":125.65964849829916,"flag":"improvement"},"debtEquity":{"avg3":0.03,"lastYr":0.03,"variationPct":0,"flag":"neutral"},"assetTurns":{"avg3":6.637664427207902,"lastYr":6.993857628605901,"variationPct":5.36624298055739,"flag":"improvement"},"cwipPct":10.255566524075903,"latestFY":"FY26","epsLatest":64,"exempt":false}
11	2026-09-04	65.74	High	{"roe":{"avg3":30.673333333333336,"lastYr":33.85,"variationPct":10.356444251249725,"flag":"improvement"},"roce":{"avg3":39.123333333333335,"lastYr":42.34,"variationPct":8.2218624861549,"flag":"improvement"},"epsGrowth":{"avg3":4.101803805287871,"lastYr":5.263157894736847,"variationPct":28.31325301204819,"flag":"improvement"},"salesGrowth":{"avg3":3.4479928704734104,"lastYr":4.570213207449287,"variationPct":32.547060830256164,"flag":"improvement"},"debtEquity":{"avg3":0.09333333333333334,"lastYr":0.1,"variationPct":7.142857142857144,"flag":"deterioration"},"assetTurns":{"avg3":8.805097909740105,"lastYr":9.799708313077298,"variationPct":11.29584717322638,"flag":"improvement"},"cwipPct":3.500243072435586,"latestFY":"FY26","epsLatest":0.8,"exempt":false}
