ISIN,Symbol,Name,Sector,IndustryGroup,MarketCap,CurrentPrice,NSECode,BSECode
INE002A01018,RELIANCE,Reliance Industries Ltd.,Refineries/Petro-Products,Oil & Gas,1789001.62,1322.0,RELIANCE,500325.0
INE397D01024,BHARTIARTL,Bharti Airtel Ltd.,Telecom Services,Telecom Services,1121215.04,1840.0,BHARTIARTL,532454.0
INE040A01034,HDFCBANK,HDFC Bank Ltd.,Banks,Banking and Finance,1097643.69,712.1,HDFCBANK,500180.0
INE090A01021,ICICIBANK,ICICI Bank Ltd.,Banks,Banking and Finance,1021462.56,1423.2,ICICIBANK,532174.0
INE062A01020,SBIN,State Bank of India,Banks,Banking and Finance,937923.05,1016.1,SBIN,500112.0
INE467B01029,TCS,Tata Consultancy Services Ltd.,IT Consulting & Software,Software & Services,833607.36,2304.0,TCS,532540.0
INE296A01032,BAJFINANCE,Bajaj Finance Ltd.,Finance (including NBFCs),Banking and Finance,660262.45,1060.5,BAJFINANCE,500034.0
INE018A01030,LT,Larsen & Toubro Ltd.,Construction & Engineering,Cement and Construction,557714.1,3964.1,LT,500510.0
INE0J1Y01017,LICI,Life Insurance Corporation of India,Life Insurance,Banking and Finance,525417.56,415.35,LICI,543526.0
INE030A01027,HINDUNILVR,Hindustan Unilever Ltd.,Personal Products,FMCG,463668.35,1973.4,HINDUNILVR,500696.0
INE009A01021,INFY,Infosys Ltd.,IT Consulting & Software,Software & Services,458580.27,1130.0,INFY,500209.0
INE044A01036,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,455633.72,1899.0,SUNPHARMA,524715.0
INE280A01028,TITAN,Titan Company Ltd.,Gems & Jewellery,Textiles Apparels & Accessories,445668.67,5020.0,TITAN,500114.0
INE237A01036,KOTAKBANK,Kotak Mahindra Bank Ltd.,Banks,Banking and Finance,422278.0,424.5,KOTAKBANK,500247.0
INE814H01029,ADANIPOWER,Adani Power Ltd.,Power - Electric Utilities,Utilities,399578.87,207.2,ADANIPOWER,533096.0
INE585B01010,MARUTI,Maruti Suzuki India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,399102.66,12694.0,MARUTI,532500.0
INE423A01024,ADANIENT,Adani Enterprises Ltd.,Commodity Trading  & Distribution,Commercial Services & Supplies,397632.24,2938.0,ADANIENT,512599.0
INE238A01034,AXISBANK,Axis Bank Ltd.,Banks,Banking and Finance,396316.11,1273.0,AXISBANK,532215.0
INE101A01026,M&M,Mahindra & Mahindra Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,394198.63,3170.0,M&M,500520.0
INE742F01042,ADANIPORTS,Adani Ports & Special Economic Zone Ltd.,Marine Port & Services,Transportation,368800.51,1707.3,ADANIPORTS,532921.0
INE860A01027,HCLTECH,HCL Technologies Ltd.,IT Consulting & Software,Software & Services,350985.44,1293.4,HCLTECH,532281.0
INE481G01011,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,Cement and Construction,336170.03,11408.0,ULTRACEMCO,532538.0
INE917I01010,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,Automobiles & Auto Components,333133.43,11919.0,BAJAJ-AUTO,532977.0
INE154A01025,ITC,ITC Ltd.,Cigarettes-Tobacco Products,"Food, Beverages & Tobacco",330911.54,264.1,ITC,500875.0
INE066F01020,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defence,General Industrials,324757.14,4856.0,HAL,541154.0
INE019A01038,JSWSTEEL,JSW Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,324022.66,1325.0,JSWSTEEL,500228.0
INE733E01010,NTPC,NTPC Ltd.,Power - Electric Utilities,Utilities,322414.15,332.5,NTPC,532555.0
INE918I01026,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Companies,Diversified,315308.35,1970.0,BAJAJFINSV,532978.0
INE758T01015,ETERNAL,Eternal Ltd.,Internet & Catalogue Retail,Retailing,311465.07,322.75,ETERNAL,543320.0
INE263A01024,BEL,Bharat Electronics Ltd.,Aerospace & Defence,General Industrials,296301.88,405.35,BEL,500049.0
INE213A01029,ONGC,Oil And Natural Gas Corporation Ltd.,Exploration & Production,Oil & Gas,295196.25,234.65,ONGC,500312.0
INE239A01024,NESTLEIND,Nestle India Ltd.,Packaged Foods,FMCG,271988.73,1410.5,NESTLEIND,500790.0
INE522F01014,COALINDIA,Coal India Ltd.,Coal & Mining,Metals & Mining,255968.92,415.35,COALINDIA,533278.0
INE267A01025,HINDZINC,Hindustan Zinc Ltd.,Other Non-Ferrous Metals,Metals & Mining,253941.67,601.0,HINDZINC,500188.0
INE752E01010,POWERGRID,Power Grid Corporation of India Ltd.,Power - Electric Utilities,Utilities,247396.06,266.0,POWERGRID,532898.0
INE192R01011,DMART,Avenue Supermarts Ltd.,Department Stores,Retailing,245896.74,3770.0,DMART,540376.0
INE721A01047,SHRIRAMFIN,Shriram Finance Ltd.,Finance (including NBFCs),Banking and Finance,244945.58,1041.0,SHRIRAMFIN,511218.0
INE021A01026,ASIANPAINT,Asian Paints Ltd.,Paints,Consumer Durables,242418.06,2527.3,ASIANPAINT,500820.0
INE361B01024,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,241576.43,9100.0,DIVISLAB,532488.0
INE081A01020,TATASTEEL,Tata Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,235676.59,188.79,TATASTEEL,500470.0
INE038A01020,HINDALCO,Hindalco Industries Ltd.,Aluminium and Aluminium Products,Metals & Mining,227194.6,1011.0,HINDALCO,500440.0
INE047A01021,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,Cement and Construction,226069.14,3322.0,GRASIM,500300.0
INE364U01010,ADANIGREEN,Adani Green Energy Ltd.,Green & Renewable Energy,Utilities,214347.04,1301.3,ADANIGREEN,541450.0
INE066A01021,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,Automobiles & Auto Components,209470.12,7630.5,EICHERMOT,505200.0
INE494B01023,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,Automobiles & Auto Components,196358.25,4133.1,TVSMOTOR,532343.0
INE242A01010,IOC,Indian Oil Corporation Ltd.,Oil Marketing & Distribution,Oil & Gas,194308.24,137.6,IOC,530965.0
INE343H01029,SOLARINDS,Solar Industries India Ltd.,Other Industrial Products,General Industrials,194056.02,21445.0,SOLARINDS,532725.0
INE646L01027,INDIGO,InterGlobe Aviation Ltd.,Airlines,Transportation,192443.97,4977.0,INDIGO,539448.0
INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,184744.69,4857.0,TORNTPHARM,500420.0
INE0V6F01027,HYUNDAI,Hyundai Motor India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,179165.31,2205.0,HYUNDAI,544274.0
INE123W01016,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,Banking and Finance,178094.55,1775.0,SBILIFE,540719.0
INE075A01022,WIPRO,Wipro Ltd.,IT Consulting & Software,Software & Services,174718.4,176.4,WIPRO,507685.0
INE931S01010,ADANIENSOL,Adani Energy Solutions Ltd.,Power - Electric Utilities,Utilities,172387.67,1409.6,ADANIENSOL,539254.0
INE1CDF01017,VAML,Vedanta Aluminium Metal Ltd.,Aluminium and Aluminium Products,Metals & Mining,171177.24,437.75,VAML,544780.0
INE775A01035,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,169609.89,160.7,MOTHERSON,517334.0
INE271C01023,DLF,DLF Ltd.,Realty,Realty,168791.5,681.9,DLF,532868.0
INE1TAE01010,TMCV,Tata Motors Ltd.,Commercial Vehicles,Automobiles & Auto Components,168741.33,458.2,TMCV,544569.0
INE318A01026,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,165863.5,1629.5,PIDILITIND,500331.0
INE669E01016,IDEA,Vodafone Idea Ltd.,Telecom Services,Telecom Services,162731.24,15.02,IDEA,532822.0
INE976I01016,TATACAP,Tata Capital Ltd.,Finance (including NBFCs),Banking and Finance,159203.81,375.05,TATACAP,544574.0
INE758E01017,JIOFIN,Jio Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,158145.24,239.5,JIOFIN,543940.0
INE117A01022,ABB,ABB India Ltd.,Heavy Electrical Equipment,General Industrials,157024.12,7410.0,ABB,500002.0
INE669C01036,TECHM,Tech Mahindra Ltd.,IT Consulting & Software,Software & Services,156517.57,1596.9,TECHM,532755.0
INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd.,Finance (including NBFCs),Banking and Finance,154997.71,1839.0,CHOLAFIN,511243.0
INE849A01020,TRENT,Trent Ltd.,Department Stores,Retailing,152131.18,2853.0,TRENT,500251.0
INE257A01026,BHEL,Bharat Heavy Electricals Ltd.,Heavy Electrical Equipment,General Industrials,150111.75,431.1,BHEL,500103.0
INE346A01027,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Asset Management Cos.,Banking and Finance,146839.26,2970.9,ICICIAMC,544658.0
INE692A01016,UNIONBANK,Union Bank of India,Banks,Banking and Finance,142916.36,187.22,UNIONBANK,532477.0
INE003A01024,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,General Industrials,141629.12,3977.0,SIEMENS,500550.0
INE07Y701011,POWERINDIA,Hitachi Energy India Ltd.,Heavy Electrical Equipment,General Industrials,141071.65,31650.0,POWERINDIA,543187.0
INE067A01029,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,General Industrials,140372.6,891.0,CGPOWER,500093.0
INE298A01020,CUMMINSIND,Cummins India Ltd.,Industrial Machinery,General Industrials,139570.2,5035.0,CUMMINSIND,500480.0
INE118H01025,BSE,BSE Ltd.,Capital Markets,Banking and Finance,138481.9,3409.8,BSE,
INE323A01026,BOSCHLTD,Bosch Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,138100.74,46820.0,BOSCHLTD,500530.0
INE200M01039,VBL,Varun Beverages Ltd.,Other Food & Beverages,"Food, Beverages & Tobacco",137869.27,407.6,VBL,540180.0
INE029A01011,BPCL,Bharat Petroleum Corporation Ltd.,Refineries/Petro-Products,Oil & Gas,136966.62,315.7,BPCL,500547.0
INE214T01019,LTM,LTM Ltd.,IT Consulting & Software,Software & Services,135081.34,4554.0,LTM,540005.0
INE160A01022,PNB,Punjab National Bank,Banks,Banking and Finance,134467.44,117.0,PNB,532461.0
INE455K01017,POLYCAB,Polycab India Ltd.,Wires & Cables,Consumer Durables,125074.03,8300.0,POLYCAB,542652.0
INE437A01024,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare Facilities,Healthcare,124373.77,8650.0,APOLLOHOSP,508869.0
INE118A01012,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Companies,Diversified,124225.8,11162.0,BAJAJHLDNG,500490.0
INE028A01039,BANKBARODA,Bank of Baroda,Banks,Banking and Finance,123595.56,239.0,BANKBARODA,532134.0
INE216A01030,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,FMCG,122878.96,5101.5,BRITANNIA,500825.0
INE670K01029,LODHA,Lodha Developers Ltd.,Realty,Realty,122105.08,1222.0,LODHA,543287.0
INE0HOQ01053,GROWW,Billionbrains Garage Ventures Ltd.,Capital Markets,Banking and Finance,121726.69,194.0,GROWW,544603.0
INE956O01016,LENSKART,Lenskart Solutions Ltd.,Other Apparels & Accessories,Textiles Apparels & Accessories,119084.97,684.9,LENSKART,544600.0
INE749A01030,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,118840.26,1165.0,JINDALSTEL,532286.0
INE795G01014,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,Banking and Finance,118710.26,546.4,HDFCLIFE,540777.0
INE562A01011,INDIANB,Indian Bank,Banks,Banking and Finance,118492.42,879.7,INDIANB,532814.0
INE245A01021,TATAPOWER,Tata Power Company Ltd.,Power - Electric Utilities,Utilities,117588.49,368.0,TATAPOWER,500400.0
INE134E01011,PFC,Power Finance Corporation Ltd.,Financial Institutions,Banking and Finance,117351.62,355.6,PFC,532810.0
INE414G01012,MUTHOOTFIN,Muthoot Finance Ltd.,Finance (including NBFCs),Banking and Finance,116979.89,2913.8,MUTHOOTFIN,533398.0
INE155A01022,TMPV,Tata Motors Passenger Vehicles Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,114722.07,311.5,TMPV,500570.0
INE640G01020,SBIFUNDS,SBI Funds Management Ltd.,Asset Management Cos.,Banking and Finance,114490.08,562.1,SBIFUNDS,544829.0
INE129A01019,GAIL,GAIL (India) Ltd.,Utilities:Non-Electrical,Utilities,114012.23,173.4,GAIL,532155.0
INE476A01022,CANBK,Canara Bank,Banks,Banking and Finance,113836.67,125.5,CANBK,532483.0
INE010B01027,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,112698.21,1120.0,ZYDUSLIFE,532321.0
INE059A01026,CIPLA,Cipla Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,111888.39,1385.0,CIPLA,500087.0
INE324D01010,LGEINDIA,LG Electronics India Ltd.,Consumer Electronics,Consumer Durables,111366.19,1640.7,LGEINDIA,544576.0
INE1NPP01017,ENRIN,Siemens Energy India Ltd.,Green & Renewable Energy,Utilities,110956.46,3115.7,ENRIN,544390.0
INE674K01013,ABCAPITAL,Aditya Birla Capital Ltd.,Holding Companies,Diversified,110841.86,404.9,ABCAPITAL,540691.0
INE200A01026,GVT&D,GE Vernova T&D India Ltd.,Industrial Machinery,General Industrials,110261.3,4306.3,GVT&D,522275.0
INE053F01010,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institutions,Banking and Finance,108991.34,83.4,IRFC,543257.0
INE854D01024,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,"Food, Beverages & Tobacco",107044.23,1471.7,UNITDSPR,532432.0
INE982J01020,PAYTM,One97 Communications Ltd.,Internet Software & Services,Software & Services,106474.81,1659.5,PAYTM,543396.0
INE205A01025,VEDL,Vedanta Ltd.,Aluminium and Aluminium Products,Metals & Mining,106401.66,272.1,VEDL,500295.0
INE158A01026,HEROMOTOCO,Hero MotoCorp Ltd.,2/3 Wheelers,Automobiles & Auto Components,106074.84,5300.0,HEROMOTOCO,500182.0
INE196A01026,MARICO,Marico Ltd.,Personal Products,FMCG,105838.08,815.15,MARICO,531642.0
INE127D01025,HDFCAMC,HDFC Asset Management Company Ltd.,Asset Management Cos.,Banking and Finance,105414.49,2458.3,HDFCAMC,541729.0
INE881D01027,OFSS,Oracle Financial Services Software Ltd.,IT Consulting & Software,Software & Services,105004.8,12058.0,OFSS,532466.0
INE776C01039,GMRAIRPORT,GMR Airports Ltd.,Construction & Engineering,Cement and Construction,102897.22,97.45,GMRAIRPORT,532754.0
INE281B01032,LLOYDSME,Lloyds Metals & Energy Ltd.,Coal & Mining,Metals & Mining,102617.95,1823.0,LLOYDSME,512455.0
INE053A01029,INDHOTEL,Indian Hotels Company Ltd.,Hotels,Hotels Restaurants & Tourism,102487.12,720.0,INDHOTEL,500850.0
INE079A01024,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,Cement and Construction,100108.85,405.0,AMBUJACEM,500425.0
INE192A01025,TATACONSUM,Tata Consumer Products Ltd.,Tea & Coffee,"Food, Beverages & Tobacco",99958.69,1010.0,TATACONSUM,500800.0
INE249Z01020,MAZDOCK,Mazagon Dock Shipbuilders Ltd.,Aerospace & Defence,General Industrials,99836.55,2475.0,MAZDOCK,543237.0
INE947Q01028,LAURUSLABS,Laurus Labs Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,99417.44,1840.0,LAURUSLABS,540222.0
INE121J01017,INDUSTOWER,Indus Towers Ltd.,Other Telecom Services,Telecom Services,99405.97,376.8,INDUSTOWER,534816.0
INE208A01029,ASHOKLEY,Ashok Leyland Ltd.,Commercial Vehicles,Automobiles & Auto Components,99268.14,169.0,ASHOKLEY,500477.0
INE121E01018,JSWENERGY,JSW Energy Ltd.,Power - Electric Utilities,Utilities,98980.56,539.85,JSWENERGY,533148.0
INE008A01015,IDBI,IDBI Bank Ltd.,Banks,Banking and Finance,97449.02,90.63,IDBI,500116.0
INE0VDM01015,MEESHO,Meesho Ltd.,Internet & Catalogue Retail,Retailing,96659.75,209.0,MEESHO,544632.0
INE326A01037,LUPIN,Lupin Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,96483.1,2110.0,LUPIN,500257.0
INE634S01028,MANKIND,Mankind Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,96152.77,2327.9,MANKIND,543904.0
INE089A01031,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,96071.18,1151.0,DRREDDY,500124.0
INE406A01037,AUROPHARMA,Aurobindo Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,96012.31,1653.1,AUROPHARMA,524804.0
INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare Facilities,Healthcare,95848.27,984.8,MAXHEALTH,543220.0
INE459N01021,MANIPALHOS,Manipal Health Enterprises Ltd.,Healthcare Facilities,Healthcare,95391.15,725.2,MANIPALHOS,544847.0
INE388Y01029,NYKAA,FSN E-Commerce Ventures Ltd.,Internet & Catalogue Retail,Retailing,95231.79,332.5,NYKAA,543384.0
INE465A01025,BHARATFORG,Bharat Forge Ltd.,Castings & Forgings,General Industrials,93514.13,1956.0,BHARATFORG,500493.0
INE102D01028,GODREJCP,Godrej Consumer Products Ltd.,Personal Products,FMCG,89846.18,878.0,GODREJCP,532424.0
INE262H01021,PERSISTENT,Persistent Systems Ltd.,IT Consulting & Software,Software & Services,88256.52,5643.0,PERSISTENT,533179.0
INE591G01025,COFORGE,Coforge Ltd.,IT Consulting & Software,Software & Services,87379.36,1972.8,COFORGE,532541.0
INE935N01020,DIXON,Dixon Technologies (India) Ltd.,Consumer Electronics,Consumer Durables,87106.93,14240.0,DIXON,540699.0
INE070A01015,SHREECEM,Shree Cements Ltd.,Cement & Cement Products,Cement and Construction,86070.51,23855.0,SHREECEM,500387.0
INE663F01032,NAUKRI,Info Edge (India) Ltd.,Internet & Catalogue Retail,Retailing,85578.55,1319.8,NAUKRI,532777.0
INE417T01026,POLICYBZR,PB Fintech Ltd.,Internet Software & Services,Software & Services,84950.78,1836.0,POLICYBZR,543390.0
INE171A01029,FEDERALBNK,Federal Bank Ltd.,Banks,Banking and Finance,84792.0,343.0,FEDERALBNK,500469.0
INE020B01018,RECLTD,REC Ltd.,Financial Institutions,Banking and Finance,83920.85,318.7,RECLTD,532955.0
INE745G01043,MCX,Multi Commodity Exchange of India Ltd.,Capital Markets,Banking and Finance,83520.01,3275.4,MCX,534091.0
INE114A01011,SAIL,Steel Authority of India (SAIL) Ltd.,Iron & Steel/Interm.Products,Metals & Mining,81288.74,196.8,SAIL,500113.0
INE949L01017,AUBANK,Au Small Finance Bank Ltd.,Microfinance Institutions,Banking and Finance,79936.57,1065.0,AUBANK,540611.0
INE274J01014,OIL,Oil India Ltd.,Exploration & Production,Oil & Gas,79427.26,488.3,OIL,533106.0
INE498L01015,LTF,L&T Finance Ltd.,Finance (including NBFCs),Banking and Finance,78699.47,314.0,LTF,533519.0
INE095A01012,INDUSINDBK,IndusInd Bank Ltd.,Banks,Banking and Finance,78576.33,1008.5,INDUSINDBK,532187.0
INE880J01026,JSWINFRA,JSW Infrastructure Ltd.,Marine Port & Services,Transportation,77589.05,333.0,JSWINFRA,543994.0
INE848E01016,NHPC,NHPC Ltd.,Green & Renewable Energy,Utilities,76593.39,76.25,NHPC,533098.0
INE00H001014,SWIGGY,Swiggy Ltd.,Internet & Catalogue Retail,Retailing,76212.26,276.1,SWIGGY,544285.0
INE094A01015,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Refineries/Petro-Products,Oil & Gas,75856.87,356.5,HINDPETRO,500104.0
INE377N01017,WAAREEENER,Waaree Energies Ltd.,Other Electrical Equipment/Products,Consumer Durables,75796.12,2635.0,WAAREEENER,544277.0
INE647A01010,SRF,SRF Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,75499.4,2547.0,SRF,503806.0
INE765G01017,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,Banking and Finance,75440.02,1510.0,ICICIGI,540716.0
INE0ONG01011,NTPCGREEN,NTPC Green Energy Ltd.,Green & Renewable Energy,Utilities,75297.68,89.36,NTPCGREEN,544289.0
INE343G01021,BHARTIHEXA,Bharti Hexacom Ltd.,Other Telecom Services,Telecom Services,74770.0,1495.4,BHARTIHEXA,544162.0
INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd.,Banks,Banking and Finance,74758.84,86.71,IDFCFIRSTB,539437.0
INE584A01023,NMDC,NMDC Ltd.,Coal & Mining,Metals & Mining,74466.7,84.7,NMDC,526371.0
INE298J01013,NAM-INDIA,Nippon Life India Asset Management Ltd.,Asset Management Cos.,Banking and Finance,74208.27,1159.9,NAM-INDIA,540767.0
INE372A01015,APARINDS,Apar Industries Ltd.,Other Electrical Equipment/Products,Consumer Durables,72945.73,17421.0,APARINDS,532259.0
INE176B01034,HAVELLS,Havells India Ltd.,Other Electrical Equipment/Products,Consumer Durables,72349.07,1154.0,HAVELLS,517354.0
INE405E01023,UNOMINDA,UNO Minda Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,72166.08,1249.7,UNOMINDA,532539.0
INE726G01019,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Life Insurance,Banking and Finance,71759.03,494.55,ICICIPRULI,540133.0
INE528G01035,YESBANK,YES Bank Ltd.,Banks,Banking and Finance,70623.67,22.5,YESBANK,532648.0
INE211B01039,PHOENIXLTD,Phoenix Mills Ltd.,Realty,Realty,69461.05,1942.0,PHOENIXLTD,503100.0
INE377Y01014,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance,Banking and Finance,69225.04,83.08,BAJAJHFL,544252.0
INE935A01035,GLENMARK,Glenmark Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,68783.8,2437.2,GLENMARK,532296.0
INE139A01034,NATIONALUM,National Aluminium Company Ltd.,Aluminium and Aluminium Products,Metals & Mining,68708.4,374.1,NATIONALUM,532234.0
INE914M01019,ASTERDM,Aster DM Quality Care Ltd.,Healthcare Facilities,Healthcare,68491.66,785.75,ASTERDM,540975.0
INE811K01011,PRESTIGE,Prestige Estates Projects Ltd.,Realty,Realty,68356.88,1587.0,PRESTIGE,533274.0
INE191B01025,WELCORP,Welspun Corp Ltd.,Iron & Steel Products,Metals & Mining,68337.59,2590.6,WELCORP,532144.0
INE061F01013,FORTIS,Fortis Healthcare Ltd.,Healthcare Facilities,Healthcare,68323.71,905.0,FORTIS,532843.0
INE093I01010,OBEROIRLTY,Oberoi Realty Ltd.,Realty,Realty,68197.23,1875.6,OBEROIRLTY,533273.0
INE016A01026,DABUR,Dabur India Ltd.,Personal Products,FMCG,67570.02,380.9,DABUR,500096.0
INE399L01023,ATGL,Adani Total Gas Ltd.,Utilities:Non-Electrical,Utilities,67346.87,612.35,ATGL,542066.0
INE457A01014,MAHABANK,Bank of Maharashtra,Banks,Banking and Finance,66108.92,85.95,MAHABANK,532525.0
INE084A01016,BANKINDIA,Bank of India,Banks,Banking and Finance,66013.68,145.0,BANKINDIA,532149.0
INE813H01021,TORNTPOWER,Torrent Power Ltd.,Power - Electric Utilities,Utilities,65462.1,1299.1,TORNTPOWER,532779.0
INE376G01013,BIOCON,Biocon Ltd.,Biotechnology,Pharmaceuticals & Biotechnology,64764.04,397.4,BIOCON,532523.0
INE565A01014,IOB,Indian Overseas Bank,Banks,Banking and Finance,64605.86,33.55,IOB,532388.0
INE976G01028,RBLBANK,RBL Bank Ltd.,Banks,Banking and Finance,64263.17,414.35,RBLBANK,540065.0
INE481Y01014,GICRE,General Insurance Corporation of India,General Insurance,Banking and Finance,62886.47,358.45,GICRE,540755.0
INE0LEZ01016,ATHERENERG,Ather Energy Ltd.,2/3 Wheelers,Automobiles & Auto Components,62822.04,1584.0,ATHERENERG,544397.0
INE018E01016,SBICARD,SBI Cards and Payment Services Ltd.,Finance (including NBFCs),Banking and Finance,62641.91,658.25,SBICARD,543066.0
INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd.,Iron & Steel Products,Metals & Mining,62473.14,2250.0,APLAPOLLO,533758.0
INE338I01027,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Capital Markets,Banking and Finance,62460.92,1037.0,MOTILALOFS,532892.0
INE040H01021,SUZLON,Suzlon Energy Ltd.,Heavy Electrical Equipment,General Industrials,62336.46,45.35,SUZLON,532667.0
INE540L01014,ALKEM,Alkem Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,62054.24,5190.0,ALKEM,539523.0
INE303R01014,KALYANKJIL,Kalyan Jewellers India Ltd.,Gems & Jewellery,Textiles Apparels & Accessories,61841.13,598.8,KALYANKJIL,543278.0
INE513A01022,SCHAEFFLER,Schaeffler India Ltd.,Abrasives & Bearings,General Industrials,61840.0,3956.4,SCHAEFFLER,505790.0
INE220G01021,JSL,Jindal Stainless Ltd.,Iron & Steel/Interm.Products,Metals & Mining,60829.8,737.85,JSL,532508.0
INE944F01028,RADICO,Radico Khaitan Ltd.,Breweries & Distilleries,"Food, Beverages & Tobacco",60211.69,4494.0,RADICO,532497.0
INE484J01027,GODREJPROP,Godrej Properties Ltd.,Realty,Realty,59703.09,1982.0,GODREJPROP,533150.0
INE169A01031,COROMANDEL,Coromandel International Ltd.,Fertilizers,Fertilizers,57206.41,1938.8,COROMANDEL,506395.0
INE756I01012,HDBFS,HDB Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,56716.32,682.7,HDBFS,544429.0
INE463A01038,BERGEPAINT,Berger Paints (India) Ltd.,Paints,Consumer Durables,56580.87,485.3,BERGEPAINT,509480.0
INE358A01014,ABBOTINDIA,Abbott India Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,55386.3,26065.0,ABBOTINDIA,500488.0
INE883A01011,MRF,MRF Ltd.,Auto Tyres & Rubber Products,Automobiles & Auto Components,55110.97,129945.0,MRF,500290.0
INE473A01011,LINDEINDIA,Linde India Ltd.,Industrial Gases,General Industrials,54121.35,6346.0,LINDEINDIA,523457.0
INE180A01020,MFSL,Max Financial Services Ltd.,Life Insurance,Banking and Finance,53437.58,1548.4,MFSL,500271.0
INE202B01038,PIRAMALFIN,Piramal Finance Ltd.,Finance (including NBFCs),Banking and Finance,52650.24,2225.0,PIRAMALFIN,544597.0
INE0CZ201020,ANTHEM,Anthem Biosciences Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,52605.24,934.05,ANTHEM,544449.0
INE974X01010,TIINDIA,Tube Investments of India Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,52225.81,2698.0,TIINDIA,540762.0
INE774D01024,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,51936.27,373.65,M&MFIN,532720.0
INE188A01015,FACT,The Fertilisers and Chemicals Travancore Ltd.,Fertilizers,Fertilizers,51856.35,801.4,FACT,590024.0
INE660A01013,SUNDARMFIN,Sundaram Finance Ltd.,Finance (including NBFCs),Banking and Finance,51648.87,4648.7,SUNDARMFIN,590071.0
INE531E01026,HINDCOPPER,Hindustan Copper Ltd.,Copper,Metals & Mining,50444.81,521.65,HINDCOPPER,513599.0
INE159A01016,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,50111.99,2958.1,GLAXO,500660.0
