Symbol,Date,Close,Volume
SPX,2021-08-30,5568.02,1887596
SPX,2021-08-31,5590.44,1859567
SPX,2021-09-01,5548.05,1797166
SPX,2021-09-02,5575.32,2140951
SPX,2021-09-03,5567.75,1028564
SPX,2021-09-06,5592.44,1627574
SPX,2021-09-07,5591.41,1987931
SPX,2021-09-08,5597.5,2020028
SPX,2021-09-09,5585.1,646759
SPX,2021-09-10,5620.06,3017294
SPX,2021-09-13,5650.76,2066758
SPX,2021-09-14,5678.82,2253131
SPX,2021-09-15,5692.0,782296
SPX,2021-09-16,5714.39,3196739
SPX,2021-09-17,5714.76,2603465
SPX,2021-09-20,5742.51,2842595
SPX,2021-09-21,5748.26,1604156
SPX,2021-09-22,5755.15,3407523
SPX,2021-09-23,5719.64,1984784
SPX,2021-09-24,5756.59,2645534
SPX,2021-09-27,5794.75,2305583
SPX,2021-09-28,5760.2,758683
SPX,2021-09-29,5728.19,2922407
SPX,2021-09-30,5729.1,1829229
SPX,2021-10-01,5684.23,3210590
SPX,2021-10-04,5650.1,2703772
SPX,2021-10-05,5682.24,3155116
SPX,2021-10-06,5698.66,1994334
SPX,2021-10-07,5713.91,3031054
SPX,2021-10-08,5701.99,2637092
SPX,2021-10-11,5674.75,3309714
SPX,2021-10-12,5688.41,2226892
SPX,2021-10-13,5693.67,3237361
SPX,2021-10-14,5678.51,1057413
SPX,2021-10-15,5704.29,2618632
SPX,2021-10-18,5716.7,3376459
SPX,2021-10-19,5687.82,1149568
SPX,2021-10-20,5727.49,1174591
SPX,2021-10-21,5687.68,581617
SPX,2021-10-22,5695.24,2032510
SPX,2021-10-25,5723.98,3353360
SPX,2021-10-26,5701.56,889830
SPX,2021-10-27,5669.92,518347
SPX,2021-10-28,5635.89,2367336
SPX,2021-10-29,5627.48,544211
SPX,2021-11-01,5610.91,1283415
SPX,2021-11-02,5615.21,2577703
SPX,2021-11-03,5574.71,1304702
SPX,2021-11-04,5553.7,2442545
SPX,2021-11-05,5568.59,926651
SPX,2021-11-08,5585.71,1925152
SPX,2021-11-09,5565.72,2505360
SPX,2021-11-10,5562.08,1832169
SPX,2021-11-11,5581.07,2145531
SPX,2021-11-12,5588.22,2671406
SPX,2021-11-15,5592.45,1141094
SPX,2021-11-16,5602.07,2958735
SPX,2021-11-17,5560.07,824504
SPX,2021-11-18,5574.67,3213190
SPX,2021-11-19,5550.15,3455498
SPX,2021-11-22,5567.25,2049767
SPX,2021-11-23,5564.03,1886181
SPX,2021-11-24,5548.77,1828495
SPX,2021-11-25,5516.7,2913049
SPX,2021-11-26,5503.48,2850266
SPX,2021-11-29,5497.12,1428906
SPX,2021-11-30,5473.37,1889045
SPX,2021-12-01,5511.98,1219730
SPX,2021-12-02,5512.19,645906
SPX,2021-12-03,5542.06,2866125
SPX,2021-12-06,5513.29,3315173
SPX,2021-12-07,5529.15,3221311
SPX,2021-12-08,5527.09,3241188
SPX,2021-12-09,5504.72,3144996
SPX,2021-12-10,5503.96,901168
SPX,2021-12-13,5486.1,2772144
SPX,2021-12-14,5455.61,2579481
SPX,2021-12-15,5443.45,1817825
SPX,2021-12-16,5439.06,2444857
SPX,2021-12-17,5451.36,1959958
SPX,2021-12-20,5431.95,2500678
SPX,2021-12-21,5446.16,2542441
SPX,2021-12-22,5442.47,3351313
SPX,2021-12-23,5406.36,1493120
SPX,2021-12-24,5436.09,3005136
SPX,2021-12-27,5444.57,1115112
SPX,2021-12-28,5435.58,677097
SPX,2021-12-29,5399.6,3182842
SPX,2021-12-30,5406.84,1233769
SPX,2021-12-31,5367.48,832796
SPX,2022-01-03,5331.06,3120893
SPX,2022-01-04,5353.73,2471512
SPX,2022-01-05,5333.94,2323980
SPX,2022-01-06,5341.99,1463471
SPX,2022-01-07,5332.84,2383651
SPX,2022-01-10,5343.96,1878548
SPX,2022-01-11,5318.26,1810530
