ISIN,Symbol,Name,Sector,IndustryGroup,MarketCap,PE,PB
INE021A01026,ASIANPAINT,Asian Paints Ltd.,Paints,Consumer Durables,262340.6,,
INE522F01014,COALINDIA,Coal India Ltd.,Coal & Mining,Metals & Mining,255907.29,,
INE267A01025,HINDZINC,Hindustan Zinc Ltd.,Other Non-Ferrous Metals,Metals & Mining,254786.74,,
INE192R01011,DMART,Avenue Supermarts Ltd.,Department Stores,Retailing,254375.94,,
INE752E01010,POWERGRID,Power Grid Corporation of India Ltd.,Power - Electric Utilities,Utilities,252604.4,,
INE038A01020,HINDALCO,Hindalco Industries Ltd.,Aluminium and Aluminium Products,Metals & Mining,238116.12,,
INE081A01020,TATASTEEL,Tata Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,234128.63,,
INE047A01021,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,Cement and Construction,226137.19,,
INE364U01010,ADANIGREEN,Adani Green Energy Ltd.,Green & Renewable Energy,Utilities,226058.46,,
INE066A01021,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,Automobiles & Auto Components,220162.55,,
INE361B01024,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,219675.27,,
INE494B01023,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,Automobiles & Auto Components,210981.43,,
INE646L01027,INDIGO,InterGlobe Aviation Ltd.,Airlines,Transportation,206209.3,,
INE242A01010,IOC,Indian Oil Corporation Ltd.,Oil Marketing & Distribution,Oil & Gas,202470.32,,
INE931S01010,ADANIENSOL,Adani Energy Solutions Ltd.,Power - Electric Utilities,Utilities,199353.81,,
INE685A01028,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,187293.15,,
INE123W01016,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,Banking and Finance,186155.08,,
INE075A01022,WIPRO,Wipro Ltd.,IT Consulting & Software,Software & Services,185737.13,,
INE0V6F01027,HYUNDAI,Hyundai Motor India Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,178799.67,,
INE775A01035,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,177842.36,,
INE758E01017,JIOFIN,Jio Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,169568.68,,
INE318A01026,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,168953.19,,
INE343H01029,SOLARINDS,Solar Industries India Ltd.,Other Industrial Products,General Industrials,168764.04,,
INE1TAE01010,TMCV,Tata Motors Ltd.,Commercial Vehicles,Automobiles & Auto Components,166863.15,,
INE117A01022,ABB,ABB India Ltd.,Heavy Electrical Equipment,General Industrials,161050.38,,
INE669C01036,TECHM,Tech Mahindra Ltd.,IT Consulting & Software,Software & Services,160243.86,,
INE849A01020,TRENT,Trent Ltd.,Department Stores,Retailing,159809.72,,
INE271C01023,DLF,DLF Ltd.,Realty,Realty,158915.01,,
INE121A01024,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd.,Finance (including NBFCs),Banking and Finance,157282.2,,
INE976I01016,TATACAP,Tata Capital Ltd.,Finance (including NBFCs),Banking and Finance,157187.5,,
INE346A01027,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Asset Management Cos.,Banking and Finance,151875.75,,
INE298A01020,CUMMINSIND,Cummins India Ltd.,Industrial Machinery,General Industrials,150408.72,,
INE200M01039,VBL,Varun Beverages Ltd.,Other Food & Beverages,"Food, Beverages & Tobacco",149504.95,,
INE07Y701011,POWERINDIA,Hitachi Energy India Ltd.,Heavy Electrical Equipment,General Industrials,145306.02,,
INE257A01026,BHEL,Bharat Heavy Electricals Ltd.,Heavy Electrical Equipment,General Industrials,141093.21,,
INE118H01025,BSE,BSE Ltd.,Capital Markets,Banking and Finance,140402.89,,
INE003A01024,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,General Industrials,140315.04,,
INE692A01016,UNIONBANK,Union Bank of India,Banks,Banking and Finance,140153.0,,
INE029A01011,BPCL,Bharat Petroleum Corporation Ltd.,Refineries/Petro-Products,Oil & Gas,139266.03,,
INE455K01017,POLYCAB,Polycab India Ltd.,Wires & Cables,Consumer Durables,138893.69,,
INE134E01011,PFC,Power Finance Corporation Ltd.,Financial Institutions,Banking and Finance,138604.28,,
INE067A01029,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,General Industrials,138482.06,,
INE214T01019,LTM,LTM Ltd.,IT Consulting & Software,Software & Services,138169.17,,
INE669E01016,IDEA,Vodafone Idea Ltd.,Telecom Services,Telecom Services,137920.68,,
INE216A01030,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,FMCG,132718.43,,
INE160A01022,PNB,Punjab National Bank,Banks,Banking and Finance,131950.48,,
INE1NPP01017,ENRIN,Siemens Energy India Ltd.,Green & Renewable Energy,Utilities,129941.25,,
INE028A01039,BANKBARODA,Bank of Baroda,Banks,Banking and Finance,129646.05,,
INE437A01024,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare Facilities,Healthcare,128615.41,,
INE155A01022,TMPV,Tata Motors Passenger Vehicles Ltd.,Cars & Utility Vehicles,Automobiles & Auto Components,127796.34,,
INE323A01026,BOSCHLTD,Bosch Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,126685.75,,
INE118A01012,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Companies,Diversified,125349.87,,
INE670K01029,LODHA,Lodha Developers Ltd.,Realty,Realty,121763.86,,
INE245A01021,TATAPOWER,Tata Power Company Ltd.,Power - Electric Utilities,Utilities,121598.64,,
INE562A01011,INDIANB,Indian Bank,Banks,Banking and Finance,119812.45,,
INE476A01022,CANBK,Canara Bank,Banks,Banking and Finance,119687.24,,
INE0HOQ01053,GROWW,Billionbrains Garage Ventures Ltd.,Capital Markets,Banking and Finance,119530.59,,
INE281B01032,LLOYDSME,Lloyds Metals & Energy Ltd.,Coal & Mining,Metals & Mining,118278.02,,
INE059A01026,CIPLA,Cipla Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,118253.55,,
INE795G01014,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,Banking and Finance,117313.65,,
INE414G01012,MUTHOOTFIN,Muthoot Finance Ltd.,Finance (including NBFCs),Banking and Finance,116024.4,,
INE053F01010,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institutions,Banking and Finance,115982.99,,
INE158A01026,HEROMOTOCO,Hero MotoCorp Ltd.,2/3 Wheelers,Automobiles & Auto Components,114580.84,,
INE129A01019,GAIL,GAIL (India) Ltd.,Utilities:Non-Electrical,Utilities,114163.45,,
INE776C01039,GMRAIRPORT,GMR Airports Ltd.,Construction & Engineering,Cement and Construction,113192.22,,
INE749A01030,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel/Interm.Products,Metals & Mining,112515.72,,
INE010B01027,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,112114.59,,
INE196A01026,MARICO,Marico Ltd.,Personal Products,FMCG,111920.91,,
INE674K01013,ABCAPITAL,Aditya Birla Capital Ltd.,Holding Companies,Diversified,111661.45,,
INE854D01024,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,"Food, Beverages & Tobacco",110004.55,,
INE127D01025,HDFCAMC,HDFC Asset Management Company Ltd.,Asset Management Cos.,Banking and Finance,109126.24,,
INE205A01025,VEDL,Vedanta Ltd.,Aluminium and Aluminium Products,Metals & Mining,109041.17,,
INE465A01025,BHARATFORG,Bharat Forge Ltd.,Castings & Forgings,General Industrials,108296.63,,
INE326A01037,LUPIN,Lupin Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,108067.47,,
INE324D01010,LGEINDIA,LG Electronics India Ltd.,Consumer Electronics,Consumer Durables,107687.24,,
INE102D01028,GODREJCP,Godrej Consumer Products Ltd.,Personal Products,FMCG,107447.02,,
INE079A01024,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,Cement and Construction,107277.14,,
INE192A01025,TATACONSUM,Tata Consumer Products Ltd.,Tea & Coffee,"Food, Beverages & Tobacco",107114.15,,
INE208A01029,ASHOKLEY,Ashok Leyland Ltd.,Commercial Vehicles,Automobiles & Auto Components,104260.92,,
INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare Facilities,Healthcare,104140.25,,
INE053A01029,INDHOTEL,Indian Hotels Company Ltd.,Hotels,Hotels Restaurants & Tourism,104052.89,,
INE121E01018,JSWENERGY,JSW Energy Ltd.,Power - Electric Utilities,Utilities,103481.76,,
INE881D01027,OFSS,Oracle Financial Services Software Ltd.,IT Consulting & Software,Software & Services,102792.63,,
INE121J01017,INDUSTOWER,Indus Towers Ltd.,Other Telecom Services,Telecom Services,101833.08,,
INE249Z01020,MAZDOCK,Mazagon Dock Shipbuilders Ltd.,Aerospace & Defence,General Industrials,101446.04,,
INE634S01028,MANKIND,Mankind Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,101431.82,,
INE947Q01028,LAURUSLABS,Laurus Labs Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,99649.78,,
INE956O01016,LENSKART,Lenskart Solutions Ltd.,Other Apparels & Accessories,Textiles Apparels & Accessories,99054.91,,
INE089A01031,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,97824.0,,
INE020B01018,RECLTD,REC Ltd.,Financial Institutions,Banking and Finance,96639.32,,
INE406A01037,AUROPHARMA,Aurobindo Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,96296.91,,
INE388Y01029,NYKAA,FSN E-Commerce Ventures Ltd.,Internet & Catalogue Retail,Retailing,95081.07,,
INE070A01015,SHREECEM,Shree Cements Ltd.,Cement & Cement Products,Cement and Construction,93845.9,,
INE982J01020,PAYTM,One97 Communications Ltd.,Internet Software & Services,Software & Services,92425.75,,
INE008A01015,IDBI,IDBI Bank Ltd.,Banks,Banking and Finance,90556.73,,
INE0VDM01015,MEESHO,Meesho Ltd.,Internet & Catalogue Retail,Retailing,88472.0,,
INE171A01029,FEDERALBNK,Federal Bank Ltd.,Banks,Banking and Finance,87999.64,,
INE935N01020,DIXON,Dixon Technologies (India) Ltd.,Consumer Electronics,Consumer Durables,86821.78,,
INE262H01021,PERSISTENT,Persistent Systems Ltd.,IT Consulting & Software,Software & Services,85629.0,,
INE094A01015,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Refineries/Petro-Products,Oil & Gas,83634.06,,
INE765G01017,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,Banking and Finance,81870.25,,
INE176B01034,HAVELLS,Havells India Ltd.,Other Electrical Equipment/Products,Consumer Durables,80750.09,,
INE949L01017,AUBANK,Au Small Finance Bank Ltd.,Microfinance Institutions,Banking and Finance,79981.16,,
INE095A01012,INDUSINDBK,IndusInd Bank Ltd.,Banks,Banking and Finance,79627.37,,
INE663F01032,NAUKRI,Info Edge (India) Ltd.,Internet & Catalogue Retail,Retailing,79450.98,,
INE591G01025,COFORGE,Coforge Ltd.,IT Consulting & Software,Software & Services,78662.68,,
INE880J01026,JSWINFRA,JSW Infrastructure Ltd.,Marine Port & Services,Transportation,78229.8,,
INE377N01017,WAAREEENER,Waaree Energies Ltd.,Other Electrical Equipment/Products,Consumer Durables,78154.86,,
INE647A01010,SRF,SRF Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,77515.09,,
INE00H001014,SWIGGY,Swiggy Ltd.,Internet & Catalogue Retail,Retailing,77495.8,,
INE848E01016,NHPC,NHPC Ltd.,Green & Renewable Energy,Utilities,77266.41,,
INE498L01015,LTF,L&T Finance Ltd.,Finance (including NBFCs),Banking and Finance,77186.21,,
INE0ONG01011,NTPCGREEN,NTPC Green Energy Ltd.,Green & Renewable Energy,Utilities,77100.92,,
INE343G01021,BHARTIHEXA,Bharti Hexacom Ltd.,Other Telecom Services,Telecom Services,76940.0,,
INE584A01023,NMDC,NMDC Ltd.,Coal & Mining,Metals & Mining,74660.12,,
INE417T01026,POLICYBZR,PB Fintech Ltd.,Internet Software & Services,Software & Services,74239.4,,
INE405E01023,UNOMINDA,UNO Minda Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,74204.54,,
INE092T01019,IDFCFIRSTB,IDFC First Bank Ltd.,Banks,Banking and Finance,72952.76,,
INE114A01011,SAIL,Steel Authority of India (SAIL) Ltd.,Iron & Steel/Interm.Products,Metals & Mining,72936.82,,
INE016A01026,DABUR,Dabur India Ltd.,Personal Products,FMCG,72732.05,,
INE726G01019,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Life Insurance,Banking and Finance,72690.92,,
INE399L01023,ATGL,Adani Total Gas Ltd.,Utilities:Non-Electrical,Utilities,72318.01,,
INE061F01013,FORTIS,Fortis Healthcare Ltd.,Healthcare Facilities,Healthcare,72109.82,,
INE274J01014,OIL,Oil India Ltd.,Exploration & Production,Oil & Gas,72026.19,,
INE377Y01014,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance,Banking and Finance,71483.1,,
INE528G01035,YESBANK,YES Bank Ltd.,Banks,Banking and Finance,71218.47,,
INE139A01034,NATIONALUM,National Aluminium Company Ltd.,Aluminium and Aluminium Products,Metals & Mining,69975.67,,
INE376G01013,BIOCON,Biocon Ltd.,Biotechnology,Pharmaceuticals & Biotechnology,69482.01,,
INE811K01011,PRESTIGE,Prestige Estates Projects Ltd.,Realty,Realty,68262.12,,
INE813H01021,TORNTPOWER,Torrent Power Ltd.,Power - Electric Utilities,Utilities,68067.28,,
INE211B01039,PHOENIXLTD,Phoenix Mills Ltd.,Realty,Realty,67795.15,,
INE745G01043,MCX,Multi Commodity Exchange of India Ltd.,Capital Markets,Banking and Finance,67266.84,,
INE540L01014,ALKEM,Alkem Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,67195.53,,
INE372A01015,APARINDS,Apar Industries Ltd.,Other Electrical Equipment/Products,Consumer Durables,66829.51,,
INE040H01021,SUZLON,Suzlon Energy Ltd.,Heavy Electrical Equipment,General Industrials,66176.46,,
INE084A01016,BANKINDIA,Bank of India,Banks,Banking and Finance,66013.68,,
INE565A01014,IOB,Indian Overseas Bank,Banks,Banking and Finance,65973.08,,
INE093I01010,OBEROIRLTY,Oberoi Realty Ltd.,Realty,Realty,64539.39,,
INE935A01035,GLENMARK,Glenmark Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,64316.38,,
INE513A01022,SCHAEFFLER,Schaeffler India Ltd.,Abrasives & Bearings,General Industrials,63071.67,,
INE018E01016,SBICARD,SBI Cards and Payment Services Ltd.,Finance (including NBFCs),Banking and Finance,62713.24,,
INE481Y01014,GICRE,General Insurance Corporation of India,General Insurance,Banking and Finance,62667.17,,
INE303R01014,KALYANKJIL,Kalyan Jewellers India Ltd.,Gems & Jewellery,Textiles Apparels & Accessories,62615.69,,
INE484J01027,GODREJPROP,Godrej Properties Ltd.,Realty,Realty,62353.78,,
INE463A01038,BERGEPAINT,Berger Paints (India) Ltd.,Paints,Consumer Durables,61856.55,,
INE169A01031,COROMANDEL,Coromandel International Ltd.,Fertilizers,Fertilizers,61047.74,,
INE473A01011,LINDEINDIA,Linde India Ltd.,Industrial Gases,General Industrials,60658.39,,
INE220G01021,JSL,Jindal Stainless Ltd.,Iron & Steel/Interm.Products,Metals & Mining,60565.99,,
INE976G01028,RBLBANK,RBL Bank Ltd.,Banks,Banking and Finance,60394.42,,
INE944F01028,RADICO,Radico Khaitan Ltd.,Breweries & Distilleries,"Food, Beverages & Tobacco",60278.68,,
INE457A01014,MAHABANK,Bank of Maharashtra,Banks,Banking and Finance,60209.49,,
INE358A01014,ABBOTINDIA,Abbott India Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,59147.43,,
INE0LEZ01016,ATHERENERG,Ather Energy Ltd.,2/3 Wheelers,Automobiles & Auto Components,58444.17,,
INE883A01011,MRF,MRF Ltd.,Auto Tyres & Rubber Products,Automobiles & Auto Components,56911.32,,
INE756I01012,HDBFS,HDB Financial Services Ltd.,Finance (including NBFCs),Banking and Finance,55291.81,,
INE259A01022,COLPAL,Colgate-Palmolive (India) Ltd.,Personal Products,FMCG,55213.08,,
INE702C01027,APLAPOLLO,APL Apollo Tubes Ltd.,Iron & Steel Products,Metals & Mining,54698.7,,
INE188A01015,FACT,The Fertilisers and Chemicals Travancore Ltd.,Fertilizers,Fertilizers,54315.22,,
INE974X01010,TIINDIA,Tube Investments of India Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,53658.24,,
INE878B01027,KEI,KEI Industries Ltd.,Wires & Cables,Consumer Durables,53536.34,,
INE338I01027,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Capital Markets,Banking and Finance,52386.76,,
INE531E01026,HINDCOPPER,Hindustan Copper Ltd.,Copper,Metals & Mining,51842.16,,
INE180A01020,MFSL,Max Financial Services Ltd.,Life Insurance,Banking and Finance,51677.49,,
INE660A01013,SUNDARMFIN,Sundaram Finance Ltd.,Finance (including NBFCs),Banking and Finance,51154.46,,
INE073K01018,SONACOMS,Sona BLW Precision Forgings Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,51009.74,,
INE01EA01019,VMM,Vishal Mega Mart Ltd.,Department Stores,Retailing,50927.8,,
INE206F01022,AIIL,Authum Investment & Infrastructure Ltd.,Finance (including NBFCs),Banking and Finance,50664.79,,
INE151A01013,TATACOMM,Tata Communications Ltd.,Other Telecom Services,Telecom Services,50026.13,,
INE09N301011,FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,49631.33,,
INE415G01027,RVNL,Rail Vikas Nigam Ltd.,Construction & Engineering,Cement and Construction,48660.2,,
INE191B01025,WELCORP,Welspun Corp Ltd.,Iron & Steel Products,Metals & Mining,48532.19,,
INE152A01029,THERMAX,Thermax Ltd.,Heavy Electrical Equipment,General Industrials,48376.27,,
INE628A01036,UPL,UPL Ltd.,Agrochemicals,Chemicals & Petrochemicals,48370.9,,
INE208C01025,AEGISLOG,Aegis Logistics Ltd.,Oil Marketing & Distribution,Oil & Gas,48122.1,,
INE202B01038,PIRAMALFIN,Piramal Finance Ltd.,Finance (including NBFCs),Banking and Finance,47822.19,,
INE787D01026,BALKRISIND,Balkrishna Industries Ltd.,Auto Tyres & Rubber Products,Automobiles & Auto Components,47677.82,,
INE0BS701011,PREMIERENE,Premier Energies Ltd.,Other Electrical Equipment/Products,Consumer Durables,47537.8,,
INE466L01038,360ONE,360 One Wam Ltd.,Capital Markets,Banking and Finance,47528.73,,
INE171Z01026,BDL,Bharat Dynamics Ltd.,Aerospace & Defence,General Industrials,47433.19,,
INE0CZ201020,ANTHEM,Anthem Biosciences Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,47364.71,,
INE356A01018,MPHASIS,Mphasis Ltd.,IT Consulting & Software,Software & Services,47044.01,,
INE914M01019,ASTERDM,Aster DM Quality Care Ltd.,Healthcare Facilities,Healthcare,45060.98,,
INE212H01026,AIAENG,AIA Engineering Ltd.,Castings & Forgings,General Industrials,44569.82,,
INE761H01022,PAGEIND,Page Industries Ltd.,Other Apparels & Accessories,Textiles Apparels & Accessories,44504.06,,
INE233A01035,GODREJIND,Godrej Industries Ltd.,Diversified,Diversified,44178.02,,
INE159A01016,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,44040.48,,
INE571A01038,IPCALAB,Ipca Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,44037.98,,
INE195A01028,SUPREMEIND,Supreme Industries Ltd.,Plastic Products,General Industrials,43722.66,,
INE819V01029,CPPLUS,Aditya Infotech Ltd.,IT Networking Equipment,Hardware Technology & Equipment,43707.21,,
INE031B01049,AJANTPHARM,Ajanta Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,43600.69,,
INE068V01023,GLAND,Gland Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,42907.84,,
INE226A01021,VOLTAS,Voltas Ltd.,Consumer Electronics,Consumer Durables,42518.68,,
INE048G01026,NAVINFLUOR,Navin Fluorine International Ltd.,Commodity Chemicals,Chemicals & Petrochemicals,42426.92,,
INE511C01022,POONAWALLA,Poonawalla Fincorp Ltd.,Finance (including NBFCs),Banking and Finance,42268.99,,
INE589A01014,NLCINDIA,NLC India Ltd.,Power - Electric Utilities,Utilities,42209.22,,
INE603J01030,PIIND,PI Industries Ltd.,Agrochemicals,Chemicals & Petrochemicals,42095.7,,
INE347G01014,PETRONET,Petronet LNG Ltd.,Oil Marketing & Distribution,Oil & Gas,42090.0,,
INE302A01020,EXIDEIND,Exide Industries Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,41650.0,,
INE335Y01020,IRCTC,Indian Railway Catering & Tourism Corporation Ltd.,Travel Support Services,Diversified Consumer Services,41596.0,,
INE823G01014,JKCEMENT,JK Cement Ltd.,Cement & Cement Products,Cement and Construction,41566.48,,
INE913H01037,ENDURANCE,Endurance Technologies Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,40855.51,,
INE470A01017,3MINDIA,3M India Ltd.,Industrial Machinery,General Industrials,40593.79,,
INE031A01017,HUDCO,Housing and Urban Development Corporation Ltd.,Financial Institutions,Banking and Finance,40246.2,,
INE704P01025,COCHINSHIP,Cochin Shipyard Ltd.,Marine Port & Services,Transportation,39980.39,,
INE474Q01031,MEDANTA,Global Health Ltd.,Healthcare Facilities,Healthcare,39136.98,,
INE619A01035,PATANJALI,Patanjali Foods Ltd.,Edible Oils,FMCG,38899.88,,
INE006I01046,ASTRAL,Astral Ltd.,Plastic Products,General Industrials,38793.09,,
INE410P01011,NH,Narayana Hrudayalaya Ltd.,Healthcare Facilities,Healthcare,38524.05,,
INE111A01025,CONCOR,Container Corporation of India Ltd.,Warehousing & Logistics,Transportation,38476.94,,
INE010V01017,LTTS,L&T Technology Services Ltd.,IT Consulting & Software,Software & Services,38174.11,,
INE0LP301011,PWL,Physicswallah Ltd.,Education,Diversified Consumer Services,38172.77,,
INE019C01026,HSCL,Himadri Speciality Chemical Ltd.,Specialty Chemicals,Chemicals & Petrochemicals,37975.75,,
INE168P01015,EMCURE,Emcure Pharmaceuticals Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,37526.31,,
INE686F01025,UBL,United Breweries Ltd.,Breweries & Distilleries,"Food, Beverages & Tobacco",37024.65,,
INE930H01031,KPRMILL,KPR Mill Ltd.,Textiles,Textiles Apparels & Accessories,36803.11,,
INE260B01028,GODFRYPHLP,Godfrey Phillips India Ltd.,Cigarettes-Tobacco Products,"Food, Beverages & Tobacco",35657.44,,
INE379A01028,ITCHOTELS,ITC Hotels Ltd.,Hotels,Hotels Restaurants & Tourism,35545.99,,
INE148O01028,DELHIVERY,Delhivery Ltd.,Warehousing & Logistics,Transportation,35452.75,,
INE142M01025,TATATECH,Tata Technologies Ltd.,IT Software Products,Software & Services,35440.2,,
INE509F01029,CUPID,Cupid Ltd.,Personal Products,FMCG,35247.59,,
INE672A01026,TATAINVEST,Tata Investment Corporation Ltd.,Holding Companies,Diversified,35095.43,,
INE463V01026,ANANDRATHI,Anand Rathi Wealth Ltd.,Capital Markets,Banking and Finance,34893.58,,
INE042A01014,ESCORTS,Escorts Kubota Ltd.,Commercial Vehicles,Automobiles & Auto Components,34458.36,,
INE093A01041,HEXT,Hexaware Technologies Ltd.,IT Consulting & Software,Software & Services,34384.54,,
INE00R701025,DALBHARAT,Dalmia Bharat Ltd.,Cement & Cement Products,Cement and Construction,34275.81,,
INE967H01025,KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare Facilities,Healthcare,34066.73,,
INE007A01025,CRISIL,Crisil Ltd.,Other Financial Services,Banking and Finance,33690.99,,
INE202E01016,IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Institutions,Banking and Finance,33654.59,,
INE671A01010,HONAUT,Honeywell Automation India Ltd.,Other Electrical Equipment/Products,Consumer Durables,33509.28,,
INE575P01011,STARHEALTH,Star Health and Allied Insurance Company Ltd.,General Insurance,Banking and Finance,33488.9,,
INE691A01018,UCOBANK,UCO Bank,Banks,Banking and Finance,33104.44,,
INE049B01025,WOCKPHARMA,Wockhardt Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,32839.67,,
INE089C01029,STLTECH,Sterlite Technologies Ltd.,Telecom Cables,Telecommunications Equipment,32833.79,,
INE036D01028,KARURVYSYA,Karur Vysya Bank Ltd.,Banks,Banking and Finance,32437.31,,
INE600L01024,LALPATHLAB,Dr. Lal Pathlabs Ltd.,Healthcare Services,Healthcare,32421.67,,
INE839M01018,SCHNEIDER,Schneider Electric Infrastructure Ltd.,Heavy Electrical Equipment,General Industrials,32393.81,,
INE797F01020,JUBLFOOD,Jubilant Foodworks Ltd.,Restaurants,Hotels Restaurants & Tourism,32101.47,,
INE548A01028,HFCL,HFCL Ltd.,Telecom Cables,Telecommunications Equipment,31833.47,,
INE0INX01018,AEGISVOPAK,Aegis Vopak Terminals Ltd.,Marine Port & Services,Transportation,31611.0,,
INE146L01010,KIRLOSENG,Kirloskar Oil Engines Ltd.,Industrial Machinery,General Industrials,31457.04,,
INE777K01022,RRKABEL,R R Kabel Ltd.,Wires & Cables,Consumer Durables,31211.46,,
INE472A01039,BLUESTARCO,Blue Star Ltd.,Consumer Electronics,Consumer Durables,31130.08,,
INE522D01027,MANAPPURAM,Manappuram Finance Ltd.,Finance (including NBFCs),Banking and Finance,31042.99,,
INE149A01033,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Holding Companies,Diversified,30570.18,,
INE531F01023,NUVAMA,Nuvama Wealth Management Ltd.,Capital Markets,Banking and Finance,30162.52,,
INE342J01019,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Auto Parts & Equipment,Automobiles & Auto Components,30012.79,,
INE115Q01022,IKS,Inventurus Knowledge Solutions Ltd.,Healthcare Services,Healthcare,29814.27,,
INE572E01012,PNBHOUSING,PNB Housing Finance Ltd.,Housing Finance,Banking and Finance,29785.43,,
INE382Z01011,GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Aerospace & Defence,General Industrials,29772.06,,
INE404A01024,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Asset Management Cos.,Banking and Finance,29658.21,,
INE794A01010,NEULANDLAB,Neuland Laboratories Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,29322.74,,
INE103A01014,MRPL,Mangalore Refinery And Petrochemicals Ltd.,Refineries/Petro-Products,Oil & Gas,29270.15,,
INE470Y01017,NIACL,The New India Assurance Company Ltd.,General Insurance,Banking and Finance,29187.73,,
INE570L01029,SAILIFE,Sai Life Science Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,28985.05,,
INE596F01018,PTCIL,PTC Industries Ltd.,Other Industrial Products,General Industrials,28599.69,,
INE483A01010,CENTRALBK,Central Bank of India,Banks,Banking and Finance,28385.19,,
INE545U01014,BANDHANBNK,Bandhan Bank Ltd.,Banks,Banking and Finance,28358.6,,
INE438A01022,APOLLOTYRE,Apollo Tyres Ltd.,Auto Tyres & Rubber Products,Automobiles & Auto Components,28261.99,,
INE0NT901020,NETWEB,Netweb Technologies India Ltd.,IT Consulting & Software,Software & Services,28124.15,,
INE810G01011,SHYAMMETL,Shyam Metalics and Energy Ltd.,Iron & Steel/Interm.Products,Metals & Mining,28105.79,,
INE0DK501011,PPLPHARMA,Piramal Pharma Ltd.,Pharmaceuticals,Pharmaceuticals & Biotechnology,27898.4,,
